timestamp;current_ratio;quick_ratio;GrossMargin;OperatingMargin;roa;roe;debt_equity;interest_coverage;assets_turnover;receivable_turnover;cash_netincome;eps;pe;stock_price
2020-12-26;1.908742021491476;1.5683121919689746;0.4785636429696016;0.3252997456703403;0.19474486232512858;0.1135454971741652;0;32.02384500745156;0;0;0.6373960767266207;2.19;19.553610396711793;42.82240676879883
2021-03-27;1.8952838391785019;1.5438698190551117;0.7329841346736102;0.11184449557950829;0.07342756646931597;0.042114100266893884;0;19.442105263157895;0;0;1.5447783397798274;0.83;71.53536325477693;59.374351501464844
2021-06-26;1.9879207601868256;1.6329119020776293;0.4778975414799564;0.2797626256509628;0.17058251640606012;0.09884164446583027;0;28.96551724137931;0;0;0.5635241035383519;2.08;24.754140927241398;51.48861312866211
2021-09-25;2.0730420668199647;1.741715135939402;0.2221751241370958;0.43802228412256267;0.24867871590760798;0.16922530442794187;0;31.24622030237581;0;0;0.5162348310921614;3.76;13.36615339238593;50.256736755371094
2021-12-25;2.1323283082077054;1.739931541766805;0.47318941504178275;0.28472810948286303;0.19944328699750674;0.12243293392458408;0;32.040885860306645;0;0;0.41330593372720265;2.875;16.657454780910324;47.89018249511719
2022-04-02;2.1338244321669735;1.7267921697019304;0.7242037059464697;0.13143393484316337;0.12966692238844138;0.07866312441824387;0;35.00806451612903;0;0;0.7660544804634537;1.99;22.736441070709997;45.24551773071289
2022-07-02;1.8586229700933206;1.4113454331692263;0.4294840741189294;0.11023979653627225;0.1513995413932158;0.07566835938271849;0;15.626609442060087;0;0;0.5731818775297036;1.87;18.42056723201976;34.44646072387695
2022-10-01;1.7712220903893863;1.3098910581382806;0.16295264623955433;0.10494126195954948;0.17615654751030185;0.08687991189868349;0;9.988472622478387;0;0;0.5218944457248214;2.11;11.693758309169969;24.673830032348633
2022-12-31;1.5676255636759446;1.1563675944643135;0.46480259174034155;0.030247063097977474;0.05872200289642312;0.029184701694881833;0;3.7;0;0;3.764864864864865;0.7249999999999999;35.375908161031795;25.647533416748047
2023-04-01;1.7637352608330596;1.2894170043441755;0.7666525372411287;-0.04444713576359453;-0.057084902926687914;-0.028125924188498762;0;-7.606217616580311;0;0;-2.984771573604061;-0.66;-48.61983096960819;32.089088439941406
2023-07-01;1.5951434878587196;1.1542310522442973;0.5150175608574543;-0.07520891364902507;-0.029453824153519697;-0.01264143658988091;0;-6.103194103194103;0;0;-6.537979639780736;-0.31;-106.38677535518524;32.97990036010742
2023-09-30;1.5311036555532256;1.1303907178304327;0.26856000968874894;-0.0754511323725324;-0.022368811485699937;-0.009625489868680817;0;-4.0785597381342065;0;0;-7.776530612244898;-0.23;-152.98699088718578;35.187007904052734
2023-12-30;1.5424018821516416;1.1457598117848358;0.5206340075087804;-0.05390880465059949;-0.015727194989484387;-0.006444739085140638;0;-4.097813578826237;0;0;-10.402645113886848;-0.16;-311.8778467178345;49.900455474853516
2024-03-30;1.565722265093889;1.1433506044905009;0.7727080053288119;-0.032366476928666586;-0.008941982726248592;-0.0035952553952421844;0;-4.1434108527131785;0;0;-18.170603674540683;-0.09;-488.79241943359375;43.99131774902344
